Date,Time,Latitude(N),Longitude(E),Depth(km),MD,ML,Mw,Location
2023.02.08,14:52:05,38.0082,37.9027,11.9,,3.5,3.5,HUDUTKOY-DOGANSEHIR
2023.02.08,14:55:03,38.0258,37.4772,4.1,,2.0,,TATLAR-NURHAK
2023.02.08,14:57:22,38.112,36.6213,5.0,,3.7,,KANLIKAVAK-GOKSUN
2023.02.08,15:02:57,37.9928,37.4893,21.9,,1.9,,KULLAR-NURHAK
2023.02.08,15:07:20,37.778,37.2892,15.2,,2.4,,CAGLAYANCERIT
2023.02.08,15:11:54,38.818,37.4012,5.0,,3.9,,KULAHLI-GURUN
2023.02.08,15:16:27,37.7907,37.935,7.1,,3.2,,TUT
2023.02.08,15:21:10,37.174,37.0048,0.0,,2.5,,ATALAR-SEHITKAMIL
2023.02.08,15:25:23,37.394,36.8938,6.4,,2.3,,GOLLUHUYUK-TURKOGLU
2023.02.08,15:27:18,37.2653,36.9198,1.0,,2.1,,NAIMLER-NURDAGI
2023.02.08,15:30:05,37.9932,38.1727,5.0,,3.4,3.4,KAVAK-(ADIYAMAN)
2023.02.08,15:32:16,37.1915,37.0138,5.0,,2.4,,ATALAR-SEHITKAMIL
2023.02.08,15:33:04,39.5815,26.0012,6.3,,2.1,,GULPINAR
2023.02.08,15:33:08,37.478,37.1412,9.5,,2.5,,DOGANLIKARAHASAN-PAZARCIK
2023.02.08,15:38:00,38.1075,36.6863,7.6,,3.6,3.6,KARAOMER-GOKSUN
2023.02.08,15:41:12,37.5408,37.3102,6.1,,3.2,3.2,SAHINTEPE-PAZARCIK
2023.02.08,15:45:28,37.3283,37.077,9.5,,2.9,,EMIROGLU-PAZARCIK
2023.02.08,15:48:10,38.2443,38.11,5.6,,2.4,,GORGU-YESILYURT
2023.02.08,15:48:57,38.8625,37.5245,109.9,,2.2,,YESILDERE-GURUN
2023.02.08,15:51:46,37.3378,37.1025,6.7,,2.6,,SARIERIK-PAZARCIK
2023.02.08,15:53:59,38.0603,36.6913,5.1,,2.4,,FINDIK-GOKSUN
2023.02.08,15:56:23,38.1128,38.4633,5.2,,3.0,,AKSU-SINCIK
2023.02.08,15:59:07,37.9867,38.049,13.1,,2.9,,GUZELKOY-DOGANSEHIR
2023.02.08,16:02:25,38.1078,38.0662,22.7,,2.8,,ESKIKOY-DOGANSEHIR
2023.02.08,16:06:10,38.0685,36.6547,19.6,,2.9,,GUCUKSU-GOKSUN
2023.02.08,16:06:31,37.9315,37.637,8.6,,3.4,3.2,HAMZALAR-GOLBASI
2023.02.08,16:10:17,37.5893,33.0077,5.6,,3.0,,TURKMENKARAHUYUK-CUMRA
2023.02.08,16:12:44,38.075,36.619,10.6,,3.5,3.3,HACIOMER-GOKSUN
2023.02.08,16:14:15,38.0783,36.5852,7.8,,3.5,3.3,YAGMURLU-GOKSUN
2023.02.08,16:18:44,38.094,36.5917,5.0,,3.2,2.9,YAGMURLU-GOKSUN
2023.02.08,16:22:45,37.9945,38.2093,2.6,,3.7,3.8,MESTAN-(ADIYAMAN)
2023.02.08,16:29:28,36.319,35.985,3.4,,3.7,,KARAGOZ-ARSUZ
2023.02.08,16:31:28,38.0633,36.6648,5.1,,4.0,,GUCUKSU-GOKSUN
2023.02.08,16:33:20,38.1143,37.7533,5.0,,3.5,,FINDIKKOY-DOGANSEHIR
2023.02.08,16:36:00,37.1682,36.6922,9.3,,2.6,,GOKCEDERE-NURDAGI
2023.02.08,16:36:51,37.795,37.9298,5.0,,2.9,,TUT
2023.02.08,16:37:45,38.0563,37.4052,6.4,,3.0,,AGCASAR-NURHAK
2023.02.08,16:39:35,37.507,37.0193,6.9,,2.1,,GUZELYURT-(KAHRAMANMARAS)
2023.02.08,16:41:21,37.3858,37.0717,8.1,,2.1,,HALKACAYIRI-(KAHRAMANMARAS)
2023.02.08,16:47:24,38.0643,37.184,8.8,,2.7,,EKINOZU
2023.02.08,16:51:26,38.0733,37.6217,7.1,,2.4,,GOVDELI-DOGANSEHIR
2023.02.08,16:53:56,37.4097,37.1432,12.3,,2.3,,DOGANLI-PAZARCIK
2023.02.08,16:56:52,36.176,36.2757,10.3,,3.4,3.5,ATAYURDU-ALTINOZU
2023.02.08,16:58:15,37.444,37.0932,13.7,,2.7,,DENIZLI-PAZARCIK
2023.02.08,16:59:47,38.1132,36.3242,10.2,,2.3,,KIRAZLIYURT-TUFANBEYLI
2023.02.08,17:03:55,37.9685,38.224,5.4,,3.3,,MESTAN-(ADIYAMAN)
2023.02.08,17:09:39,37.9748,37.5967,5.0,,3.6,3.6,GOVDELI-DOGANSEHIR
2023.02.08,17:12:16,38.1343,37.9615,10.1,,2.6,,KELHALIL-DOGANSEHIR
2023.02.08,17:15:04,37.9928,36.599,10.4,,2.7,2.8,KARAAHMET-GOKSUN
2023.02.08,17:17:21,38.0987,36.6445,7.2,,2.6,,KANLIKAVAK-GOKSUN
2023.02.08,17:20:25,37.9922,37.3845,13.0,,5.0,4.9,BARIS-NURHAK
2023.02.08,17:24:48,37.9525,36.5287,5.5,,2.2,,GOLPINAR-GOKSUN
